City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,oyem,1.5995,11.5793,19.73,96,54,0.97,GA,1733440028
83,invercargill,-46.4,168.35,15.57,83,97,6.26,NZ,1733440029
84,sarkikaraagac,38.0794,31.3664,5.06,87,49,1.78,TR,1733440031
85,colonia,50.9333,6.95,7.36,92,75,5.66,DE,1733439931
86,labrador city,52.9463,-66.9114,-10.46,84,100,2.68,CA,1733440033
87,nova sintra,14.8667,-24.7167,26.39,67,35,6.36,CV,1733440034
88,uturoa,-16.7333,-151.4333,27.46,74,99,6.6,PF,1733440035
89,port elizabeth,-33.918,25.5701,19.16,86,40,7.2,ZA,1733439738
90,college,64.8569,-147.8028,-6.63,75,100,1.54,US,1733440037
91,vila franca do campo,37.7167,-25.4333,19.23,99,100,4.49,PT,1733440038
92,kasane,-17.8167,25.15,26.23,21,87,1.69,BW,1733440040
93,curuca,-0.7289,-47.8481,23.65,97,94,0.98,BR,1733440041
94,san patricio,28.017,-97.5169,17.97,81,100,6.02,US,1733440043
95,christchurch,-43.5333,172.6333,19.07,63,40,5.14,NZ,1733439460
96,saldanha,-33.0117,17.9442,16.21,84,100,3.11,ZA,1733440045
97,margaret river,-33.95,115.0667,14.45,64,0,3.98,AU,1733440046
98,kurayoshi,35.4333,133.8167,8.79,72,67,6.16,JP,1733440047
99,avarua,-21.2078,-159.775,27.03,74,20,5.14,CK,1733440048
100,maine soroa,13.2114,12.0241,19.67,20,65,4.06,NE,1733440049
101,na wa,17.4897,104.1006,18.43,79,0,1.82,TH,1733440050
102,ebon,4.582,168.6964,28.36,81,48,8.41,MH,1733440051
103,petropavlovsk-kamchatsky,53.0452,158.6483,-6.67,68,20,4.0,RU,1733440052
104,kuta,-8.7233,115.1723,27.97,89,75,1.03,ID,1733440053
105,dunedin,-45.8742,170.5036,16.56,73,58,2.68,NZ,1733440054
106,turaif,31.6725,38.6637,8.14,49,0,3.09,SA,1733440056
107,alice springs,-23.7,133.8833,30.75,48,28,3.09,AU,1733440057
108,touros,-5.1989,-35.4608,26.06,70,100,5.28,BR,1733440059
109,lerwick,60.1545,-1.1494,8.03,76,97,6.6,GB,1733440060
110,lovington,32.944,-103.3485,10.65,46,59,1.79,US,1733440061
111,olonkinbyen,70.9221,-8.7187,-1.95,99,100,9.86,SJ,1733440062
112,cole harbour,44.6724,-63.4751,6.77,94,97,0.89,CA,1733440063
113,hawaiian paradise park,19.5933,-154.9731,27.73,68,0,3.6,US,1733440064
114,moundou,8.5667,16.0833,23.32,29,5,1.89,TD,1733440065
115,puerto lempira,15.2667,-83.7667,25.08,89,100,4.85,HN,1733440067
116,yuzhno-kurilsk,44.0306,145.8556,-0.85,56,100,0.54,RU,1733440068
117,shushtar,32.0455,48.8567,16.49,31,4,1.6,IR,1733440069
118,mbandaka,0.0487,18.2603,23.21,81,78,1.74,CD,1733440070
119,keflavik,64.0049,-22.5624,1.24,86,40,3.09,IS,1733440071
120,nar'yan-mar,67.6713,53.087,-3.23,82,100,9.58,RU,1733440072
121,kinablangan,7.6947,126.5503,25.76,83,86,1.42,PH,1733440073
122,kingscliff,-28.2667,153.5667,28.86,74,12,3.6,AU,1733440074
123,afaahiti,-17.75,-149.2833,25.63,80,100,7.42,PF,1733440075
124,longyearbyen,78.2186,15.6401,-6.09,63,20,8.23,SJ,1733440076
125,constantia,44.1833,28.65,1.38,83,100,6.87,RO,1733440077
126,tucurui,-3.7661,-49.6725,22.06,93,100,0.75,BR,1733440078
127,port saint john's,-31.6229,29.5448,21.15,87,100,3.71,ZA,1733440079
128,bikenibeu village,1.3673,173.1241,29.98,74,75,8.75,KI,1733440081
129,chisec,15.8167,-90.2833,23.07,84,99,0.99,GT,1733440082
130,mejit,10.2753,170.8646,27.54,84,72,11.3,MH,1733440083
131,salekhard,66.53,66.6019,-11.53,96,100,4.09,RU,1733439964
132,boyolangu,-8.1181,111.8935,24.06,93,100,1.94,ID,1733440085
133,revda,56.801,59.9303,-9.21,91,74,3.82,RU,1733440086
134,mount gambier,-37.8333,140.7667,16.76,97,100,0.54,AU,1733440088
135,enewetak,11.3474,162.3373,28.06,80,19,11.11,MH,1733440089
136,ulsteinvik,62.3432,5.8487,8.07,71,100,6.24,NO,1733440090
137,gazojak,41.1875,61.4036,-0.15,51,0,3.25,TM,1733440091
138,lihue,21.9789,-159.3672,21.77,97,100,8.75,US,1733440092
139,derzhavinsk,51.1,66.3167,-7.22,96,82,3.07,KZ,1733440093
140,saudarkrokur,65.7461,-19.6394,-2.63,96,100,0.86,IS,1733440095
141,prado,-17.3411,-39.2208,24.73,83,33,4.21,BR,1733440096
142,prince rupert,54.3161,-130.3201,9.05,87,100,5.14,CA,1733440097
143,kuqa,41.7278,82.9364,-3.33,67,44,1.35,CN,1733440098
144,ulaangom,49.9811,92.0667,-13.96,84,28,2.13,MN,1733440099
145,turochak,52.2576,87.1224,-13.44,98,76,0.98,RU,1733440101
146,fuglafjordur,62.244,-6.814,5.12,79,99,13.18,FO,1733440102
147,kuala belait,4.5833,114.1833,24.13,91,100,2.78,BN,1733440103
148,utrik,11.2278,169.8474,27.64,84,85,11.28,MH,1733440104
149,chul'man,56.8479,124.9104,-24.13,98,99,2.62,RU,1733440105
150,whitehorse,60.7161,-135.0538,4.5,93,43,3.92,CA,1733440106
151,dalandzadgad,43.5708,104.425,-9.41,76,15,5.93,MN,1733440108
152,carinhanha,-14.3047,-43.765,24.17,57,0,2.18,BR,1733440109
153,bredasdorp,-34.5322,20.0403,16.43,71,98,3.02,ZA,1733440110
154,jolo,6.05,121.0167,27.23,80,100,2.81,PH,1733440111
155,atamyrat,37.8357,65.2106,4.98,60,0,3.34,TM,1733440112
156,rampura,30.25,75.2333,12.51,28,0,1.55,IN,1733440113
157,tobelo,1.7284,128.0095,27.41,81,100,0.5,ID,1733440115
158,iskateley,67.6803,53.1512,-3.2,81,100,9.51,RU,1733440116
159,diu,20.7141,70.9822,24.17,42,99,3.77,IN,1733440117
160,itirucu,-13.5317,-40.1503,19.41,88,7,3.21,BR,1733439922
161,vilyuysk,63.7553,121.6247,-24.23,98,74,2.33,RU,1733440119
162,lompoc,34.6391,-120.4579,21.19,65,0,6.69,US,1733440120
163,hoa binh,20.8133,105.3383,19.44,90,98,1.07,VN,1733440121
164,saint-louis,16.3333,-15.0,26.18,12,100,4.68,SN,1733440122
165,paghman,34.5875,68.9533,-3.08,30,0,3.05,AF,1733440123
166,berezovyy,51.6667,135.7,-18.2,94,100,1.43,RU,1733440124
167,saryaghash,41.45,69.1667,0.96,70,10,0.28,KZ,1733440125
168,port mathurin,-19.6833,63.4167,24.37,79,93,9.39,MU,1733440126
169,hoopstad,-27.8327,25.9083,20.12,25,66,2.42,ZA,1733440127
170,souillac,-20.5167,57.5167,23.92,76,10,4.83,MU,1733440128
171,zaragoza,41.6561,-0.8773,13.25,68,20,3.09,ES,1733439963
172,keetmanshoop,-26.5833,18.1333,19.35,35,33,5.33,NA,1733440131
173,sanctuary point,-35.1114,150.629,25.13,75,69,2.2,AU,1733440132
174,kristiansund,63.1115,7.732,7.36,45,100,3.6,NO,1733440133
175,powell river,49.8496,-124.5361,6.8,93,100,1.03,CA,1733440124
176,rio gallegos,-51.6226,-69.2181,8.03,42,40,2.06,AR,1733440135
177,salanso,12.1833,-4.0833,23.1,16,93,3.1,BF,1733440136
178,funafuti,-8.5243,179.1942,31.0,74,75,4.12,TV,1733440137
179,hilo,19.7297,-155.09,27.85,72,0,3.6,US,1733440138
180,robertsport,6.7533,-11.3686,27.26,78,48,1.58,LR,1733440139
181,omagari,39.45,140.4833,1.2,100,100,1.03,JP,1733440140
182,orsta,62.2029,6.1272,7.2,53,75,6.69,NO,1733440142
183,east london,-33.0153,27.9116,20.09,70,100,3.15,ZA,1733440143
184,alotau,-10.3069,150.4462,30.02,71,100,0.76,PG,1733440144
185,bundibugyo,0.7414,30.0417,21.22,64,77,1.41,UG,1733440145
186,al qusayr,34.5091,36.5798,9.32,69,0,1.05,SY,1733440146
187,concepcion,-36.827,-73.0498,14.89,77,40,4.63,CL,1733440137
188,alenquer,-1.9417,-54.7383,25.8,84,85,2.54,BR,1733440148
189,poronaysk,49.2167,143.1167,-14.95,81,29,3.08,RU,1733439916
190,hargeysa,9.56,44.065,14.75,67,13,5.33,SO,1733440150
191,bubaque,11.2833,-15.8333,28.38,49,100,8.36,GW,1733440151
192,vorgashor,67.5833,63.95,-3.56,94,100,11.03,RU,1733440152
193,camalu,30.85,-116.0667,16.63,69,0,2.8,MX,1733440153
194,taraz,42.9,71.3667,0.23,93,100,1.0,KZ,1733440155
195,st. john's,47.5649,-52.7093,3.87,75,90,2.68,CA,1733440084
196,verkhnevilyuysk,63.4453,120.3167,-19.57,95,78,2.67,RU,1733440157
197,el granada,37.5027,-122.4694,18.4,72,0,6.17,US,1733440158
198,shengli,37.4564,118.4856,2.48,46,0,0.74,CN,1733440159
199,amga,60.8953,131.9608,-23.78,98,100,2.05,RU,1733440160
200,eirunepe,-6.6603,-69.8736,24.86,91,90,1.0,BR,1733440161
201,houlton,46.1262,-67.8403,0.23,87,100,2.57,US,1733440162
202,mont-laurier,46.5501,-75.4993,-2.18,93,100,5.43,CA,1733440089
203,brisas de zicatela,15.8369,-97.0419,29.29,65,0,0.0,MX,1733440164
204,banda aceh,5.5577,95.3222,25.27,86,97,1.29,ID,1733440165
